label,model_idx,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,12,2.7081222534179688,0.8851292729377747,1.5954643487930298,1.3162496089935303,2.7710464000701904,0.7093750238418579,0.6940162181854248
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,13,2.6076016426086426,0.8892676830291748,1.6392098665237427,0.9666299819946289,2.7822186946868896,0.753125011920929,0.7157758474349976
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,14,2.724729299545288,0.8795201778411865,1.779470443725586,1.4583852291107178,2.8118224143981934,0.6899999380111694,0.679307222366333
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,15,2.7173476219177246,0.883698046207428,1.3760356903076172,0.8306035995483398,2.8210432529449463,0.7218749523162842,0.7224661111831665
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,16,2.926992654800415,0.8584616184234619,1.6680893898010254,0.9853569865226746,2.8298213481903076,0.7649999856948853,0.6642405986785889
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,17,2.9934160709381104,0.8513071537017822,1.9873610734939575,1.116561770439148,2.879549503326416,0.7056249380111694,0.6694649457931519
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,18,2.983032464981079,0.8597469329833984,2.525766611099243,2.0286405086517334,2.997222661972046,0.7193750143051147,0.658591091632843
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,19,2.8355255126953125,0.8817872405052185,1.5284202098846436,0.953427791595459,3.0129177570343018,0.703125,0.701728105545044
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,20,2.9380242824554443,0.8615041971206665,2.7030749320983887,2.151510238647461,3.0377235412597656,0.6743749380111694,0.6772907972335815
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,21,2.779172897338867,0.8712753653526306,1.7593907117843628,0.8163730502128601,3.0428295135498047,0.7662500143051147,0.6875247955322266
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,22,2.5469138622283936,0.9001249074935913,0.9354808330535889,0.6651508808135986,3.051831007003784,0.6962499618530273,0.7263606786727905
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,23,2.6142241954803467,0.8897930979728699,1.2143356800079346,0.8529259562492371,3.086400270462036,0.6987499594688416,0.7212178707122803
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,24,2.7929022312164307,0.8794925212860107,1.6054619550704956,0.9293845891952515,3.095412492752075,0.7081249952316284,0.7405508756637573
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,25,2.9158554077148438,0.8550386428833008,2.377708911895752,1.5761165618896484,3.1355443000793457,0.700624942779541,0.6447827816009521
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,26,2.460181474685669,0.9061503410339355,1.3137363195419312,0.8239386081695557,3.2639784812927246,0.7093749642372131,0.7384544610977173
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,27,2.8607871532440186,0.8802266120910645,1.7609039545059204,1.2578710317611694,3.275573253631592,0.6762499809265137,0.6694415211677551
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,28,3.3230998516082764,0.8021014332771301,8.963376998901367,1.2601441144943237,3.288285970687866,0.6731249690055847,0.679803729057312
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,29,2.964855432510376,0.8564885258674622,2.8200719356536865,2.2273545265197754,3.2941086292266846,0.7493749856948853,0.6577973365783691
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,30,2.847013235092163,0.8630644679069519,1.6316622495651245,1.0682964324951172,3.379040479660034,0.6706249713897705,0.6822338700294495
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,31,2.5158703327178955,0.8975549936294556,1.383704423904419,1.1481741666793823,3.4029762744903564,0.6706249713897705,0.6929324865341187
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,32,3.5094470977783203,0.7884378433227539,8.847097396850586,0.9423787593841553,3.408031463623047,0.6237499713897705,0.6444091796875
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,33,2.7911927700042725,0.8762809038162231,2.480435609817505,2.1129508018493652,3.4185094833374023,0.6762499809265137,0.633159875869751
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,34,2.994615316390991,0.8549904227256775,2.178013324737549,1.5558239221572876,3.4360055923461914,0.6993749737739563,0.6705160140991211
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,35,2.4135384559631348,0.9028736352920532,1.46750009059906,0.791490375995636,3.4472873210906982,0.703125,0.6994988322257996
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,36,2.575287103652954,0.8884329795837402,1.153098225593567,0.8319115042686462,3.488577127456665,0.6462499499320984,0.6910517811775208
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,37,3.4928767681121826,0.7927465438842773,8.858846664428711,1.579276442527771,3.5110576152801514,0.7406249642372131,0.6894004344940186
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,38,3.0130116939544678,0.8632418513298035,2.7489452362060547,2.3073489665985107,3.5508651733398438,0.6474999785423279,0.652188241481781
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,39,2.8268678188323975,0.8681674003601074,2.4372525215148926,1.9342689514160156,3.5524463653564453,0.6468749642372131,0.644525408744812
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,40,2.5409719944000244,0.8962181210517883,1.3091105222702026,1.0935609340667725,3.6401400566101074,0.6699999570846558,0.7198936939239502
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,41,3.127831220626831,0.8426803350448608,3.449164390563965,2.015392541885376,3.648045539855957,0.6387499570846558,0.5500970482826233
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,42,2.7890985012054443,0.8839636445045471,1.5799826383590698,1.0818217992782593,3.67021107673645,0.6100000143051147,0.647150456905365
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,43,3.009467124938965,0.852861762046814,2.087038993835449,1.6607507467269897,3.6718428134918213,0.6143749952316284,0.6263006925582886
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,44,2.615490436553955,0.8884233832359314,1.3873769044876099,0.8028873205184937,3.7204549312591553,0.6399999856948853,0.6764057874679565
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,45,3.4660072326660156,0.7905633449554443,8.794008255004883,1.8773958683013916,3.724172830581665,0.7074999809265137,0.7342684268951416
